UserID,Status,created_dt,last_updated
1,pending,2023-09-25,2023-09-25
1,activated,2023-09-25,2023-09-27
2,pending,2023-09-01,2023-09-01
2,activated,2023-09-01,2023-09-04
3,pending,2023-10-20,2023-10-20
3,activated,2023-10-20,2023-10-29
4,pending,2023-09-18,2023-09-18
4,expired,2023-09-18,2023-10-02
5,pending,2023-09-23,2023-09-23
5,activated,2023-09-23,2023-09-29
6,pending,2023-09-12,2023-09-12
6,activated,2023-09-12,2023-09-18
7,pending,,2023-10-04
7,Rejected,2023-10-04,2023-10-05
8,pending,2023-09-10,2023-09-10
8,activated, 2023-09-10,2023-09-19
9,pending,2023-09-08,2023-09-08
9,activated,2023-09-08,2023-09-09
10,PENDING,2023-09-26,2023-09-26
10,rejected,2023-09-26,2023-10-06
11,,2023-10-04,
11,activated,2023-10-04,2023-10-12
12,pending,2023-09-11,
12,activated,2023-09-11,
13,PENDING,2023-10-04,2023-10-04
13,,2023-10-04,2023-10-11
14,pending,2023-09-22,2023-09-22
14,activated,2023-09-22,2023-09-26
15,pending,,2023-10-28
15,,2023-10-28,
16,pending,2023-09-06,2023-09-06
16,activated,2023-09-06,2023-09-09
17,pending,2023-10-29,2023-10-29
17,activated,2023-10-29,2023-11-01
18,pending ,2023-09-25,2023-09-25
18,activated,2023-09-25,2023-09-27
19,pending,2023-10-01, 2023-10-01
19,activated,2023-10-01,2023-10-08
20,pending,2023-09-09,2023-09-09
20,activated,2023-09-09,2023-09-19
21,pending,2023-10-14,2023-10-14
21,activated,2023-10-14,2023-10-22
22,pending,2023-09-12, 2023-09-12
22,REJECTED,2023-09-12,2023-09-20
23,pending,2023-09-21,2023-09-21 
23,expired,2023-09-21 ,2023-10-05
24,pending,,2023-09-02
24,rejected,2023-09-02,2023-09-03
25,pending,2023-09-21,2023-09-21
25,,2023-09-21,2023-10-01
26,pending,2023-10-29,2023-10-29
26,activated,2023-10-29,2023-11-05
27,pending,2023-10-29,2023-10-29
27,expired,2023-10-29, 2023-11-12
28, pending,,2023-10-15
28,rejected ,2023-10-15,2023-10-23
29,pending,2023-09-01,2023-09-01
29,expired,2023-09-01,2023-09-15
30,pending,2023-10-27,2023-10-27
30,activated,2023-10-27,2023-10-30
31,pending,2023-10-23,2023-10-23
31, activated,2023-10-23,2023-10-26
32,pending,2023-10-17, 2023-10-17
32,,,2023-10-23
33,pending,2023-09-11,2023-09-11
33,activated,,2023-09-18
34,pending,2023-09-06,2023-09-06
34,activated,2023-09-06,2023-09-08
35,pending,,2023-09-25
35,activated,2023-09-25,2023-10-05
36,pending,,2023-10-24
36,, 2023-10-24,2023-10-25
37,pending,2023-10-05 ,2023-10-05
37,,2023-10-05,2023-10-10
38,pending, 2023-10-15,2023-10-15
38,activated,2023-10-15,2023-10-17
38,deactivated,,2023-11-02
39,PENDING,2023-09-14,2023-09-14
39,activated, 2023-09-14,2023-09-23
40,pending, 2023-10-02,2023-10-02
40,activated,2023-10-02,2023-10-07
41,pending,2023-10-13,2023-10-13
41,activated,2023-10-13,2023-10-16
42,pending,2023-10-20,2023-10-20
42,,2023-10-20,2023-10-22 
43,pending,2023-10-19,2023-10-19
43,rejected,2023-10-19,
44,PENDING,2023-09-14,2023-09-14
44,activated,2023-09-14,2023-09-23
45,,,2023-10-23
45,activated,2023-10-23,2023-11-02
45,deactivated,2023-10-23,2023-11-25
46,pending,2023-09-13,
46,,2023-09-13,2023-09-20
47,pending,2023-10-19,2023-10-19
47,expired,2023-10-19,2023-11-02
48,pending,2023-10-04,2023-10-04
48, activated,2023-10-04,2023-10-11
49,pending,2023-09-12,
49,activated,2023-09-12,2023-09-20
50,pending,2023-10-06,2023-10-06
50,activated,2023-10-06,2023-10-13
51,pending,2023-10-02,2023-10-02
51,activated,2023-10-02,
51,deactivated,2023-10-02,2023-10-30
52,pending,2023-10-28,
52,ACTIVATED,2023-10-28,2023-10-31
53,,2023-09-03,2023-09-03
53,activated,2023-09-03,2023-09-10
54,pending,2023-09-10,2023-09-10
54,activated,2023-09-10,2023-09-12
55,pending,,2023-10-29
55,activated,2023-10-29,
56,,2023-10-20,2023-10-20 
56,activated,2023-10-20,2023-10-24
57,pending,2023-09-10,2023-09-10
57,activated,2023-09-10,2023-09-19 
58,pending,2023-09-14,2023-09-14
58,activated,2023-09-14,2023-09-16
59,pending,2023-10-03,
59,activated,2023-10-03,2023-10-09
60,pending,2023-09-10,2023-09-10
60,activated,2023-09-10,2023-09-13
60,deactivated,2023-09-10,2023-10-04
61,pending,2023-09-20,
61,activated,2023-09-20,2023-09-26
62,pending,2023-09-03,2023-09-03
62,,2023-09-03,2023-09-17
63,,2023-10-13,2023-10-13
63,activated,2023-10-13,2023-10-21
64,pending,2023-09-05,2023-09-05
64,activated,2023-09-05,2023-09-12
65,pending,2023-10-30,2023-10-30
65,activated,2023-10-30,2023-11-01
66,pending,2023-10-26,2023-10-26
66,activated, 2023-10-26,2023-11-05
67,pending,2023-10-18,2023-10-18
67,activated,2023-10-18,2023-10-21
68,pending,,2023-10-17
68,activated,2023-10-17,2023-10-18
69,pending,2023-09-23,2023-09-23
69,activated,2023-09-23,2023-10-01
70,pending,,2023-10-11
70,activated,2023-10-11,2023-10-18
71,pending,2023-10-16,2023-10-16
71,activated,2023-10-16,2023-10-19
72,pending ,2023-09-29,2023-09-29
72,activated,2023-09-29,2023-10-05
73,,2023-09-04,2023-09-04
73,activated,2023-09-04,2023-09-10
74,pending,2023-10-08,2023-10-08
74,activated,2023-10-08,2023-10-12
75,pending,,2023-09-20
75,activated,2023-09-20 ,2023-09-29
76,,2023-10-07,2023-10-07
76, activated,2023-10-07,2023-10-09
77,pending,2023-09-26,2023-09-26
77,activated,2023-09-26,2023-10-05
78,pending,2023-10-28,2023-10-28
78,activated,2023-10-28,2023-11-07
79,pending,2023-09-13,2023-09-13
79,activated,2023-09-13,2023-09-23
80,pending,2023-10-17,2023-10-17
80,,2023-10-17,2023-10-24
81,Pending,2023-10-12,2023-10-12
81,activated ,2023-10-12,
82,pending,2023-10-04,2023-10-04
82,activated,2023-10-04,
83,pending,2023-09-05,2023-09-05
83,,2023-09-05,2023-09-06
84,,2023-09-10,2023-09-10
84,activated,2023-09-10,2023-09-12
85,pending,2023-10-29,2023-10-29
85,activated,2023-10-29,2023-11-06
86,Pending,2023-09-14,2023-09-14
86,activated,2023-09-14,2023-09-16
87,pending,2023-09-10,2023-09-10
87,activated,2023-09-10,2023-09-16
88,pending,2023-09-18,2023-09-18
88,ACTIVATED,,2023-09-26
89,pending,2023-10-03,2023-10-03
89,rejected,2023-10-03,2023-10-13
90,pending,2023-10-02,2023-10-02
90,activated,,2023-10-03
91,pending,2023-09-01,2023-09-01
91,activated,2023-09-01,2023-09-11
92,,2023-09-01,2023-09-01
92,expired,,2023-09-15
93,pending,2023-09-30,2023-09-30
93,expired,2023-09-30,2023-10-14
94,pending,2023-09-12,2023-09-12
94,activated,2023-09-12,2023-09-18
95,pending ,2023-10-07,2023-10-07 
95,activated,2023-10-07,2023-10-15
96,pending,2023-10-18,2023-10-18
96,activated,2023-10-18,2023-10-25
97,pending,2023-09-06,2023-09-06
97,expired,2023-09-06,2023-09-20
98,pending,2023-10-01,2023-10-01
98,rejected,2023-10-01,2023-10-06
99,pending,2023-09-25,2023-09-25
99,activated,2023-09-25,2023-09-30
100,pending,2023-10-18,2023-10-18
100,rejected,2023-10-18,2023-10-26
101, pending,,2023-10-28
101,activated ,2023-10-28,2023-10-30
102,pending,2023-09-26,2023-09-26
102,,2023-09-26,2023-10-06
103,pending,2023-09-15,
103,activated,2023-09-15,2023-09-24
104,PENDING,2023-10-23,
104,activated,2023-10-23,2023-10-29
105,pending,2023-09-02,2023-09-02
105,activated,2023-09-02,2023-09-12
106,Pending,2023-09-20,2023-09-20
106,activated,2023-09-20,2023-09-24
107,pending,2023-09-24,2023-09-24
107,activated,2023-09-24,2023-10-01
108,pending,2023-09-11,2023-09-11
108,activated,2023-09-11,2023-09-16
109,pending,2023-10-11,2023-10-11
109,activated,2023-10-11,2023-10-20
110,pending,2023-10-02,2023-10-02
110,expired,2023-10-02,2023-10-16
111,,2023-09-15,2023-09-15
111,activated,2023-09-15, 2023-09-17
112,pending,2023-09-25,2023-09-25
112,activated,2023-09-25,2023-09-28
113,,2023-10-12 ,2023-10-12
113,activated,2023-10-12,2023-10-18
114,pending,2023-09-20,2023-09-20
114,activated,2023-09-20,
115,pending,2023-09-05,2023-09-05
115,activated ,2023-09-05,2023-09-08
116,pending,2023-09-28,2023-09-28
116,activated,2023-09-28 ,2023-10-04
117,pending,2023-09-12,2023-09-12
117,rejected,2023-09-12,2023-09-13
118,pending, 2023-10-08,2023-10-08
118,activated,,2023-10-15
119,PENDING,2023-09-13,2023-09-13
119,,2023-09-13,2023-09-15
120,pending,2023-09-09,2023-09-09
120,rejected,2023-09-09,2023-09-10
121,pending,2023-10-24,2023-10-24
121,activated,2023-10-24, 2023-10-28
122,pending,2023-09-20,2023-09-20
122,activated,2023-09-20,2023-09-28
122,deactivated,2023-09-20, 2023-10-16
123,pending,2023-09-18,2023-09-18
123,activated,2023-09-18,2023-09-26
124,,2023-10-03,2023-10-03
124,activated,2023-10-03,2023-10-12
125,pending,2023-10-12,2023-10-12
125,activated,,2023-10-14
126,pending,2023-10-11,2023-10-11
