user_id,sex,plan,age,age_bin,ethnicity,department,nationality,country_of_work
1,™ale,Dependent account,4.0,0-10,Indian, HR,Singapore,Singapore
2,Female,Dependent Account,10.0,0-10,Indian,,Singapore,Sinsapore
3,Female,Main account,28.0,21-30,,Business,Singapore,Singapore
4,Male,Dependent account,2.0,0-0,Chinese,,,Singapore
5,Female,Main account,48.0,41-50,,Product,I–dia,Singapore
6,®ale,Dependent account,59.0,51-60,éhinese,Product,Singapore,Singaporre
7,,Main account,38.0,31-40,Chinese,Business,Singap—re,Singapore
8,Male,Dependent account,55.0,51-ñ0,Indian,Product,Singapore,Singapore
9,Male,Dependent account,17.0,11-20,Indian,Product,Singapore,Singapore
10,,Dependent account,18.0,11-20,Malay,Business,Singapore,Singapore
11,Female,Dependent account,77.0,60+,Chinese,business,Singapore,Singapore
12,Female,Dependent account,,,Chinese,,Singapore,Singapore
13,Female,Main account,52.0,"""1-60",Malay,Product,Singapore,Singapore
14,Male,Main account,28.0,21-'0,Chinese,HR,,Singapore
15,Female,mAIN ACCOUNT,20.0,11-20,Chinese,Product,,Sin–apore
16,Female,Dependent account,41.0,41-50,Indian,Business, China,Singapore
17,Female,Dependent account,3.0,0-110,Maay,Business,Singapore,China
18,Male,Dependent account,,0-10,Chinese,HR,Singapore,Singapore
19,,Dependent account,67.0,60+,Chinese,Product,sINGAPORE,China 
20,F™male,Main account,54.0,51-60,,Product,China,Singapore
21,M™le,Dependent account,64.0,,Indian,HR,Singapore,sINGAPOñE
22,Male,Main account,26.0,21-30,Chnese,Business,Singapore,China
23,Female,Main account,47.0,41-50,Chinese,Business,,Singapore
24,Male,Main account,60.0,,Chinese,Business,Singapore,Singapore
25,Female,Dependent account,39.0,31-40 ,Others,™roduct,China,Singapore
26,Female,,17.0,11-20,Chinese,,Singapore,CHINA
27,Mal—,Dependent account,59.0,51-60,Chinese,Product,Singapore,Singapore
28,,Dependent account,22.0,21-30,Chinese,Business,Singapore,Singapore
29,Male,dEPENDENT ACCOUNT,11.0,1120,Chinese,Product,Singapore,Singapore
30,Male,Dependent account,11.0,,Chinese,HR,Siügapore , Singapo—e
31,Feméle,Dependent account,17.0,11-20,Chinese,Business, Singapore,Singapore
32, Female,Main account,56.0,51-60,Chinese,Business,SINGAPORE,China
33,Male,Main account,43.0,41-50 ,Chinese,Business,Singapore,Singapore
34,Male,Dependent account,59.0,51-60, Chinese,Business, Singapore,China
35,Fema…e ,Dependent account,50.0,41-50,Chinese,Business,Singapore,Singapore
36,,Mainaccount,24.0,21-30,,Product,Singapore,Singapore
37,male,Dependent account,45.0,41-50,Malaé,Product,Singapor—,Singapore
38,Male,Dependent account,25.0,2-130,Indian,HR,singapore,Singapore
39, Male,Dependent account,0.0,0-10,chinesñ,HR,Singapore,Singapore
40,Female,DEPENDENT ACCOUNT,31.0,31-40,Indian,P—oduct,Singapore,Singapore
41,Female,Main account,,41-50,Chinese,Business,,Singapore
42,Male,M…in account,21.0,21-30,Chiüese,HR ,Singapore,Singapore
43,,Main account,59.0,,Chinese,HR,Singapore,Singapore
44,,Dependentaccount,17.0, 11-20,Chinese,Produc…,Singapore, Singapore
45,Fmale, Dependent account,12.0,,Malay,Product,Singapore,China
46,Male,Main account,33.0,31-40,Malay,HR,sinagpore,Singapore
47, Male,,29.0,21-30,Chinese,Product,S…ngapore,Singapore
48,Female,Dependent account,31.0,31-40,Malay,Business,Si—gapore,Si–gapore
49,Male,Dependent account,44.0,41-50,MAüAY,Bpsiness,Singapore,Singapore
50,Female,Dependentaccount,,60+,C®inese,Business,Singapore,Sing—pore
51,Maale,Dependent account,20.0,11-20,Chinsee,Business,Singapore,
52,Male,Main account,58.0,51-60,Chinese,Business,India,Singapore
53,Male,Dependent account,26.0,21-30,Chinese,Business,Singapore,Singapore
54,,Main account,34.0,31-40,Indian,bUSINESS,Singap–re,üingapore
55,Mal',Dependent account,25.0,21-30,Chinese,Business,,Singapore
56,Male,De®endent account,60.0,51-60,Chinese ,Business,Si'gapore,SINGAPORE
57,…ale,Dependent account,,41-50,Malay,Product,Singapore,Singapo–e
58,Male,Dependent account,45.0,41-50,Chinese,,Singapore,Singapore
